 txt, src_id, type_id, weight, tgt_id, value_id, desc, source parent_id, source type_id, source origin_nm, source name, source id, source path type_id, source path id, source path nm, target parent_id, target type_id, target origin_nm, target name, target id, target path type_id, target path id, target path nm
,12919651,11,0.99,12919656,12919651,,12919656,1702,qlik_test1,employee_details.qvw,12919651,1701,12919656,QVSERVER,,,,,,,,
,12919651,11,0.99,12919656,12919651,,12919656,1702,qlik_test1,employee_details.qvw,12919651,,,,,1701,qlik_test1,QVSERVER,12919656,,,
,12919654,11,0.95,12919651,12919651,,12919651,1709,qlik_test1,Main,12919654,1702,12919651,employee_details.qvw,,,,,,,,
,12919654,11,0.95,12919651,12919651,,12919651,1709,qlik_test1,Main,12919654,1701,12919656,QVSERVER,,,,,,,,
,12919654,11,0.95,12919651,12919651,,12919651,1709,qlik_test1,Main,12919654,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,1701,12919656,QVSERVER
,12919654,11,0.95,12919651,12919651,,12919651,1709,qlik_test1,Main,12919654,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,,,
,12919668,11,0.95,12919651,12919651,,12919651,1706,qlik_test1,EMP,12919668,1702,12919651,employee_details.qvw,,,,,,,,
,12919668,11,0.95,12919651,12919651,,12919651,1706,qlik_test1,EMP,12919668,1701,12919656,QVSERVER,,,,,,,,
,12919668,11,0.95,12919651,12919651,,12919651,1706,qlik_test1,EMP,12919668,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,1701,12919656,QVSERVER
,12919668,11,0.95,12919651,12919651,,12919651,1706,qlik_test1,EMP,12919668,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,,,
,12919643,11,0.95,12919651,12919651,,12919658,151,qlik_test1,"LOAD COMM,",12919643,1703,12919658,DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF,,,,,,,,
,12919643,11,0.95,12919651,12919651,,12919658,151,qlik_test1,"LOAD COMM,",12919643,1702,12919651,employee_details.qvw,,,,,,,,
,12919643,11,0.95,12919651,12919651,,12919658,151,qlik_test1,"LOAD COMM,",12919643,1701,12919656,QVSERVER,,,,,,,,
,12919643,11,0.95,12919651,12919651,"12919643,0",12919658,151,qlik_test1,"LOAD COMM,",12919643,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,1701,12919656,QVSERVER
,12919643,11,0.95,12919651,12919651,"12919643,0",12919658,151,qlik_test1,"LOAD COMM,",12919643,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,,,
,12919637,11,0.99,12919651,,,12919651,1707,qlik_test1,ENAME,12919637,1702,12919651,employee_details.qvw,,,,,,,,
,12919637,11,0.99,12919651,,,12919651,1707,qlik_test1,ENAME,12919637,1701,12919656,QVSERVER,,,,,,,,
,12919637,11,0.99,12919651,,,12919651,1707,qlik_test1,ENAME,12919637,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,1701,12919656,QVSERVER
,12919637,11,0.99,12919651,,,12919651,1707,qlik_test1,ENAME,12919637,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,,,
,12919644,11,0.99,12919651,,,12919651,1707,qlik_test1,EMPNO,12919644,1702,12919651,employee_details.qvw,,,,,,,,
,12919644,11,0.99,12919651,,,12919651,1707,qlik_test1,EMPNO,12919644,1701,12919656,QVSERVER,,,,,,,,
,12919644,11,0.99,12919651,,,12919651,1707,qlik_test1,EMPNO,12919644,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,1701,12919656,QVSERVER
,12919644,11,0.99,12919651,,,12919651,1707,qlik_test1,EMPNO,12919644,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,,,
,12919647,11,0.99,12919651,,,12919651,1707,qlik_test1,HIREDATE,12919647,1702,12919651,employee_details.qvw,,,,,,,,
,12919647,11,0.99,12919651,,,12919651,1707,qlik_test1,HIREDATE,12919647,1701,12919656,QVSERVER,,,,,,,,
,12919647,11,0.99,12919651,,,12919651,1707,qlik_test1,HIREDATE,12919647,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,1701,12919656,QVSERVER
,12919647,11,0.99,12919651,,,12919651,1707,qlik_test1,HIREDATE,12919647,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,,,
,12919648,11,0.99,12919651,,,12919651,1707,qlik_test1,MGR,12919648,1702,12919651,employee_details.qvw,,,,,,,,
,12919648,11,0.99,12919651,,,12919651,1707,qlik_test1,MGR,12919648,1701,12919656,QVSERVER,,,,,,,,
,12919648,11,0.99,12919651,,,12919651,1707,qlik_test1,MGR,12919648,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,1701,12919656,QVSERVER
,12919648,11,0.99,12919651,,,12919651,1707,qlik_test1,MGR,12919648,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,,,
,12919653,11,0.99,12919651,,,12919651,1707,qlik_test1,DEPTNO,12919653,1702,12919651,employee_details.qvw,,,,,,,,
,12919653,11,0.99,12919651,,,12919651,1707,qlik_test1,DEPTNO,12919653,1701,12919656,QVSERVER,,,,,,,,
,12919653,11,0.99,12919651,,,12919651,1707,qlik_test1,DEPTNO,12919653,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,1701,12919656,QVSERVER
,12919653,11,0.99,12919651,,,12919651,1707,qlik_test1,DEPTNO,12919653,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,,,
,12919663,11,0.99,12919651,,,12919651,1707,qlik_test1,JOB,12919663,1702,12919651,employee_details.qvw,,,,,,,,
,12919663,11,0.99,12919651,,,12919651,1707,qlik_test1,JOB,12919663,1701,12919656,QVSERVER,,,,,,,,
,12919663,11,0.99,12919651,,,12919651,1707,qlik_test1,JOB,12919663,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,1701,12919656,QVSERVER
,12919663,11,0.99,12919651,,,12919651,1707,qlik_test1,JOB,12919663,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,,,
,12919672,11,0.99,12919651,,,12919651,1707,qlik_test1,COMM,12919672,1702,12919651,employee_details.qvw,,,,,,,,
,12919672,11,0.99,12919651,,,12919651,1707,qlik_test1,COMM,12919672,1701,12919656,QVSERVER,,,,,,,,
,12919672,11,0.99,12919651,,,12919651,1707,qlik_test1,COMM,12919672,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,1701,12919656,QVSERVER
,12919672,11,0.99,12919651,,,12919651,1707,qlik_test1,COMM,12919672,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,,,
,12919677,11,0.99,12919651,,,12919651,1707,qlik_test1,SAL,12919677,1702,12919651,employee_details.qvw,,,,,,,,
,12919677,11,0.99,12919651,,,12919651,1707,qlik_test1,SAL,12919677,1701,12919656,QVSERVER,,,,,,,,
,12919677,11,0.99,12919651,,,12919651,1707,qlik_test1,SAL,12919677,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,1701,12919656,QVSERVER
,12919677,11,0.99,12919651,,,12919651,1707,qlik_test1,SAL,12919677,,,,12919656,1702,qlik_test1,employee_details.qvw,12919651,,,
,12919639,11,0.99,12919654,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw,,,,,,,,
,12919639,11,0.99,12919654,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER,,,,,,,,
,12919639,11,0.99,12919654,,,12919651,1710,qlik_test1,salary,12919639,,,,12919651,1709,qlik_test1,Main,12919654,1702,12919651,employee_details.qvw
,12919639,11,0.99,12919654,,,12919651,1710,qlik_test1,salary,12919639,,,,12919651,1709,qlik_test1,Main,12919654,1701,12919656,QVSERVER
,12919639,11,0.99,12919654,,,12919651,1710,qlik_test1,salary,12919639,,,,12919651,1709,qlik_test1,Main,12919654,,,
,12919658,11,0.95,12919639,12919651,,12919651,1703,qlik_test1,DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF,12919658,1702,12919651,employee_details.qvw,,,,,,,,
,12919658,11,0.95,12919639,12919651,,12919651,1703,qlik_test1,DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF,12919658,1701,12919656,QVSERVER,,,,,,,,
,12919658,11,0.95,12919639,12919651,1291964312919640,12919651,1703,qlik_test1,DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF,12919658,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919658,11,0.95,12919639,12919651,1291964312919640,12919651,1703,qlik_test1,DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF,12919658,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919658,11,0.95,12919639,12919651,1291964312919640,12919651,1703,qlik_test1,DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF,12919658,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919641,11,0.95,12919639,12919639,,12919639,151,qlik_test1,salary,12919641,1710,12919639,salary,,,,,,,,
,12919641,11,0.95,12919639,12919639,,12919639,151,qlik_test1,salary,12919641,1702,12919651,employee_details.qvw,,,,,,,,
,12919641,11,0.95,12919639,12919639,,12919639,151,qlik_test1,salary,12919641,1701,12919656,QVSERVER,,,,,,,,
,12919641,11,0.95,12919639,12919639,,12919639,151,qlik_test1,salary,12919641,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919641,11,0.95,12919639,12919639,,12919639,151,qlik_test1,salary,12919641,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919641,11,0.95,12919639,12919639,,12919639,151,qlik_test1,salary,12919641,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919637,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,ENAME,12919637,1702,12919651,employee_details.qvw,,,,,,,,
,12919637,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,ENAME,12919637,1701,12919656,QVSERVER,,,,,,,,
,12919637,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,ENAME,12919637,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919637,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,ENAME,12919637,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919637,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,ENAME,12919637,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919644,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,EMPNO,12919644,1702,12919651,employee_details.qvw,,,,,,,,
,12919644,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,EMPNO,12919644,1701,12919656,QVSERVER,,,,,,,,
,12919644,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,EMPNO,12919644,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919644,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,EMPNO,12919644,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919644,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,EMPNO,12919644,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919647,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,HIREDATE,12919647,1702,12919651,employee_details.qvw,,,,,,,,
,12919647,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,HIREDATE,12919647,1701,12919656,QVSERVER,,,,,,,,
,12919647,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,HIREDATE,12919647,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919647,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,HIREDATE,12919647,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919647,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,HIREDATE,12919647,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919648,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,MGR,12919648,1702,12919651,employee_details.qvw,,,,,,,,
,12919648,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,MGR,12919648,1701,12919656,QVSERVER,,,,,,,,
,12919648,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,MGR,12919648,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919648,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,MGR,12919648,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919648,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,MGR,12919648,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919653,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,DEPTNO,12919653,1702,12919651,employee_details.qvw,,,,,,,,
,12919653,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,DEPTNO,12919653,1701,12919656,QVSERVER,,,,,,,,
,12919653,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,DEPTNO,12919653,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919653,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,DEPTNO,12919653,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919653,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,DEPTNO,12919653,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919663,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,JOB,12919663,1702,12919651,employee_details.qvw,,,,,,,,
,12919663,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,JOB,12919663,1701,12919656,QVSERVER,,,,,,,,
,12919663,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,JOB,12919663,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919663,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,JOB,12919663,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919663,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,JOB,12919663,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919672,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,COMM,12919672,1702,12919651,employee_details.qvw,,,,,,,,
,12919672,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,COMM,12919672,1701,12919656,QVSERVER,,,,,,,,
,12919672,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,COMM,12919672,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919672,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,COMM,12919672,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919672,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,COMM,12919672,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919677,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,SAL,12919677,1702,12919651,employee_details.qvw,,,,,,,,
,12919677,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,SAL,12919677,1701,12919656,QVSERVER,,,,,,,,
,12919677,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,SAL,12919677,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919677,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,SAL,12919677,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919677,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,SAL,12919677,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919668,11,0.99,12919639,,,12919651,1706,qlik_test1,EMP,12919668,1702,12919651,employee_details.qvw,,,,,,,,
,12919668,11,0.99,12919639,,,12919651,1706,qlik_test1,EMP,12919668,1701,12919656,QVSERVER,,,,,,,,
,12919668,11,0.99,12919639,,,12919651,1706,qlik_test1,EMP,12919668,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919668,11,0.99,12919639,,,12919651,1706,qlik_test1,EMP,12919668,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919668,11,0.99,12919639,,,12919651,1706,qlik_test1,EMP,12919668,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919643,11,0.95,12919641,12919651,,12919658,151,qlik_test1,"LOAD COMM,",12919643,1703,12919658,DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF,,,,,,,,
,12919643,11,0.95,12919641,12919651,,12919658,151,qlik_test1,"LOAD COMM,",12919643,1702,12919651,employee_details.qvw,,,,,,,,
,12919643,11,0.95,12919641,12919651,,12919658,151,qlik_test1,"LOAD COMM,",12919643,1701,12919656,QVSERVER,,,,,,,,
,12919643,11,0.95,12919641,12919651,1291964312919640,12919658,151,qlik_test1,"LOAD COMM,",12919643,,,,12919639,151,qlik_test1,salary,12919641,1710,12919639,salary
,12919643,11,0.95,12919641,12919651,1291964312919640,12919658,151,qlik_test1,"LOAD COMM,",12919643,,,,12919639,151,qlik_test1,salary,12919641,1702,12919651,employee_details.qvw
,12919643,11,0.95,12919641,12919651,1291964312919640,12919658,151,qlik_test1,"LOAD COMM,",12919643,,,,12919639,151,qlik_test1,salary,12919641,1701,12919656,QVSERVER
,12919643,11,0.95,12919641,12919651,1291964312919640,12919658,151,qlik_test1,"LOAD COMM,",12919643,,,,12919639,151,qlik_test1,salary,12919641,,,
,12919668,11,0.99,12919641,,,12919651,1706,qlik_test1,EMP,12919668,1702,12919651,employee_details.qvw,,,,,,,,
,12919668,11,0.99,12919641,,,12919651,1706,qlik_test1,EMP,12919668,1701,12919656,QVSERVER,,,,,,,,
,12919668,11,0.99,12919641,,,12919651,1706,qlik_test1,EMP,12919668,,,,12919639,151,qlik_test1,salary,12919641,1710,12919639,salary
,12919668,11,0.99,12919641,,,12919651,1706,qlik_test1,EMP,12919668,,,,12919639,151,qlik_test1,salary,12919641,1702,12919651,employee_details.qvw
,12919668,11,0.99,12919641,,,12919651,1706,qlik_test1,EMP,12919668,,,,12919639,151,qlik_test1,salary,12919641,1701,12919656,QVSERVER
