 ext, txt, notes, parent_id, type_id, origin_ds, origin_nm, name, id, desc, parent name, parent id, parent type, parent parent name, parent parent id, parent parent type, parent parent parent name, parent parent parent id, parent parent parent type, parent parent parent parent name, parent parent parent parent id, parent parent parent parent type
,"C:\\WINDOWS",,1.2919651E7,1708.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/WinPath","qlik_test1","WinPath",1.2919636E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,,,1.2919651E7,1707.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/ENAME","qlik_test1","ENAME",1.2919637E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
"Dimension","EMPNO",,1.2919641E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01/#/EMPNO","qlik_test1","EMPNO",1.2919638E7,,"salary",1.2919641E7,151.0,"salary",1.2919639E7,1710.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
"Straight Table",,,1.2919651E7,1710.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01","qlik_test1","salary",1.2919639E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"    JOB",,1.2919643E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/LOAD0/6","qlik_test1","LOAD0/6",1.291964E7,,"LOAD COMM,",1.2919643E7,151.0,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
"Straight Table",,,1.2919639E7,151.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01/#","qlik_test1","salary",1.2919641E7,,"salary",1.2919639E7,1710.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,
,"C:",,1.2919651E7,1708.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CD","qlik_test1","CD",1.2919642E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"LOAD COMM,\n    DEPTNO,\n    EMPNO,\n    ENAME,\n    HIREDATE,\n    JOB,\n    MGR,\n    SAL",,1.2919658E7,151.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/LOAD0","qlik_test1","LOAD COMM,",1.2919643E7,,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,
,,,1.2919651E7,1707.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/EMPNO","qlik_test1","EMPNO",1.2919644E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
"Dimension","MGR",,1.2919641E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01/#/MGR","qlik_test1","MGR",1.2919645E7,,"salary",1.2919641E7,151.0,"salary",1.2919639E7,1710.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
"SQL ","SELECT *\nFROM SYSTEM.EMP",,1.2919658E7,151.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/SQL1","qlik_test1","SQL SELECT FROM SYSTEM.EMP",1.2919646E7,,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,
,,,1.2919651E7,1707.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/HIREDATE","qlik_test1","HIREDATE",1.2919647E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,,,1.2919651E7,1707.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/MGR","qlik_test1","MGR",1.2919648E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"COMM",,1.2919643E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/LOAD0/1","qlik_test1","LOAD0/1",1.2919649E7,,"LOAD COMM,",1.2919643E7,151.0,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
,"    HIREDATE",,1.2919643E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/LOAD0/5","qlik_test1","LOAD0/5",1.291965E7,,"LOAD COMM,",1.2919643E7,151.0,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
,"employee_details.qvw",,1.2919656E7,1702.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw","qlik_test1","employee_details.qvw",1.2919651E7,,"QVSERVER",1.2919656E7,1701.0,,,,,,,,,
"Dimension","ENAME",,1.2919641E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01/#/ENAME","qlik_test1","ENAME",1.2919652E7,,"salary",1.2919641E7,151.0,"salary",1.2919639E7,1710.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
,,,1.2919651E7,1707.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DEPTNO","qlik_test1","DEPTNO",1.2919653E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,,,1.2919651E7,1709.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/SH01","qlik_test1","Main",1.2919654E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"C:",,1.2919651E7,1708.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/QvWorkRoot","qlik_test1","QvWorkRoot",1.2919655E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,,,,1701.0,"schema-qlikview://qlik_test1/QVSERVER","qlik_test1","QVSERVER",1.2919656E7,,,,,,,,,,,,,
"Dimension","DEPTNO",,1.2919641E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01/#/DEPTNO","qlik_test1","DEPTNO",1.2919657E7,,"salary",1.2919641E7,151.0,"salary",1.2919639E7,1710.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;",,1.2919651E7,1703.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;","qlik_test1","DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"C:",,1.2919651E7,1708.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/QvRoot","qlik_test1","QvRoot",1.2919659E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"    EMPNO",,1.2919643E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/LOAD0/3","qlik_test1","LOAD0/3",1.291966E7,,"LOAD COMM,",1.2919643E7,151.0,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
,"C:",,1.2919651E7,1708.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/WinRoot","qlik_test1","WinRoot",1.2919661E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"C:\\Users\\OrionIndia-PC5\\Documents",,1.2919651E7,1708.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/QvWorkPath","qlik_test1","QvWorkPath",1.2919662E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,,,1.2919651E7,1707.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/JOB","qlik_test1","JOB",1.2919663E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"C:\\Program Files\\QlikView",,1.2919651E7,1708.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/QvPath","qlik_test1","QvPath",1.2919664E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"    SAL",,1.2919643E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/LOAD0/8","qlik_test1","LOAD0/8",1.2919665E7,,"LOAD COMM,",1.2919643E7,151.0,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
,"sum(sal)",,1.2919641E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01/#/salary","qlik_test1","salary",1.2919666E7,,"salary",1.2919641E7,151.0,"salary",1.2919639E7,1710.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
"Dimension","SAL",,1.2919641E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01/#/SAL","qlik_test1","SAL",1.2919667E7,,"salary",1.2919641E7,151.0,"salary",1.2919639E7,1710.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
,,,1.2919651E7,1706.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/EMP","qlik_test1","EMP",1.2919668E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"    ENAME",,1.2919643E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/LOAD0/4","qlik_test1","LOAD0/4",1.2919669E7,,"LOAD COMM,",1.2919643E7,151.0,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
"Dimension","COMM",,1.2919641E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01/#/COMM","qlik_test1","COMM",1.291967E7,,"salary",1.2919641E7,151.0,"salary",1.2919639E7,1710.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
,"    DEPTNO",,1.2919643E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/LOAD0/2","qlik_test1","LOAD0/2",1.2919671E7,,"LOAD COMM,",1.2919643E7,151.0,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
,,,1.2919651E7,1707.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/COMM","qlik_test1","COMM",1.2919672E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"    MGR",,1.2919643E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/LOAD0/7","qlik_test1","LOAD0/7",1.2919673E7,,"LOAD COMM,",1.2919643E7,151.0,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
"Dimension","HIREDATE",,1.2919641E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01/#/HIREDATE","qlik_test1","HIREDATE",1.2919674E7,,"salary",1.2919641E7,151.0,"salary",1.2919639E7,1710.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
"LOAD ","SELECT *\nFROM SYSTEM.EMP",,1.2919658E7,151.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/SQL0","qlik_test1","LOAD FROM SYSTEM.EMP",1.2919675E7,,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,
"Dimension","JOB",,1.2919641E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/CH01/#/JOB","qlik_test1","JOB",1.2919676E7,,"salary",1.2919641E7,151.0,"salary",1.2919639E7,1710.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
,,,1.2919651E7,1707.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/SAL","qlik_test1","SAL",1.2919677E7,,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,,,,
,"SELECT *\nFROM SYSTEM.EMP",,1.2919658E7,151.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/SQL1/sqlparser-map/1","qlik_test1","M02 (DSN=ODBCDSN=ORACLEDBQ=DESKTOP-OISORCF.SQL SELECT FROM SYSTEM.EMP)",1.2919679E7,,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,
,"SELECT *\nFROM SYSTEM.EMP",,1.2919658E7,151.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/SQL0/sqlparser-map/2","qlik_test1","M03 (DSN=ODBCDSN=ORACLEDBQ=DESKTOP-OISORCF.LOAD FROM SYSTEM.EMP)",1.291968E7,,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0,,,
,"SYSTEM.EMP.* AS *",,1.2919679E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/SQL1/sqlparser-map/1/1","qlik_test1","T00 (DSN=ODBCDSN=ORACLEDBQ=DESKTOP-OISORCF.SQL SELECT FROM SYSTEM.EMP.*)",1.2919681E7,,"M02 (DSN=ODBCDSN=ORACLEDBQ=DESKTOP-OISORCF.SQL SELECT FROM SYSTEM.EMP)",1.2919679E7,151.0,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
,"SYSTEM.EMP.* AS *",,1.291968E7,152.0,"schema-qlikview://qlik_test1/QVSERVER/employee_details.qvw/DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF;/SQL0/sqlparser-map/2/1","qlik_test1","T00 (DSN=ODBCDSN=ORACLEDBQ=DESKTOP-OISORCF.LOAD FROM SYSTEM.EMP.*)",1.2919682E7,,"M03 (DSN=ODBCDSN=ORACLEDBQ=DESKTOP-OISORCF.LOAD FROM SYSTEM.EMP)",1.291968E7,151.0,"DSN=ODBC;DSN=ORACLE;DBQ=DESKTOP-OISORCF",1.2919658E7,1703.0,"employee_details.qvw",1.2919651E7,1702.0,"QVSERVER",1.2919656E7,1701.0
